id,CH,Acc,MHT,AcBF
185,0.0,4.766,257.0,0.0
186,0.0,11.276,252.0,0.0
187,0.0,4.819,251.0,0.0
188,0.0,4.769,256.0,0.0
189,0.0,11.362,216.0,0.0
190,0.0,7.683,29.7,0.0
191,0.0,4.766,256.0,0.0
192,0.0,4.699,270.0,0.0
193,0.0,4.732,376.0,0.0
194,0.0,4.807,252.0,0.0
195,0.0,9.762,193.0,0.0
196,0.0,4.804,192.0,0.0
197,0.0,11.354,217.0,0.0
198,0.0,11.409,271.0,0.0
199,0.0,4.752,280.0,0.0
201,0.0,4.752,255.0,0.0
202,0.0,4.84,376.0,4.771
203,0.0,4.765,240.0,0.0
204,0.0,5.086,216.0,0.0
205,0.0,4.732,234.0,0.0
206,0.0,4.75,184.0,0.0
207,0.0,4.74,234.0,0.0
208,0.0,4.755,252.0,0.0
209,0.0,4.77,394.0,0.0
210,0.0,5.106,30.3,0.0
211,0.0,11.411,377.0,0.0
212,0.0,5.031,387.0,0.0
213,0.0,6.023,252.0,0.0
214,0.0,4.757,241.0,0.0
216,0.0,4.756,275.0,0.0
217,0.0,11.353,176.0,0.0
218,0.0,4.765,277.0,0.0
219,0.0,4.786,335.0,0.0
220,0.0,4.732,255.0,0.0
221,0.0,4.753,251.0,0.0
222,0.0,4.709,234.0,0.0
223,0.0,11.271,194.0,0.0
224,0.0,4.732,252.0,0.0
226,0.0,11.565,234.0,0.0
227,0.0,4.78,234.0,0.0
228,0.0,4.758,192.0,0.0
229,0.0,4.721,252.0,0.0
230,0.0,4.788,275.0,0.0
231,0.0,4.735,234.0,0.0
232,0.0,4.745,176.0,0.0
233,0.0,4.734,234.0,0.0
234,0.0,4.751,256.0,0.0
235,0.0,4.786,234.0,0.0
236,0.0,4.746,271.0,0.0
237,0.0,9.772,275.0,0.0
238,0.0,4.748,234.0,0.0
239,0.0,4.769,255.0,0.0
240,0.0,7.874,402.0,0.0
241,0.0,6.415,266.0,0.0
243,0.0,6.145,29.7,0.0
244,0.0,4.76,240.0,0.0
245,0.0,11.178,193.0,0.0
246,0.0,4.728,336.0,0.0
247,0.0,4.744,29.7,0.0
248,0.0,6.162,286.0,0.0
249,0.0,5.222,234.0,0.0
250,0.0,4.78,29.9,0.0
251,0.0,4.752,240.0,0.0
252,0.0,8.546,234.0,0.0
253,0.0,4.765,241.0,0.0
254,0.0,4.727,183.0,0.0
255,0.0,7.717,256.0,0.0
256,0.0,4.756,192.0,0.0
257,0.0,4.768,29.6,0.0
259,0.0,5.725,270.0,0.0
260,0.0,4.775,270.0,0.0
261,0.0,11.063,235.0,4.792
262,0.0,8.859,194.0,0.0
263,0.0,4.734,29.5,0.0
264,0.0,7.688,275.0,0.0
265,0.0,10.529,217.0,0.0
266,0.0,4.772,217.0,0.0
267,0.0,5.524,185.0,6.35
268,0.0,4.777,217.0,0.0
269,0.0,4.769,183.0,0.0
270,0.0,4.713,192.0,0.0
271,0.0,9.814,192.0,11.337
272,0.0,4.733,191.0,0.0
273,0.0,4.805,192.0,0.0
