Time,Register,Valid_user_num,Revoke,Revoked_user_num,BF_false_positive,New_acc_wit,Revoke_in_acc,Acc_update,BF_false_positive_rate,CH_update_block,CH_update
0,109,109,0,0,0,0,0,0,0.0000,0,0
1,108,217,0,0,0,0,0,0,0.0000,0,0
2,100,317,0,0,0,0,0,0,0.0000,0,0
3,91,408,0,0,0,0,0,0,0.0000,0,0
4,109,517,0,0,0,0,0,0,0.0000,0,0
5,100,617,0,0,0,0,0,0,0.0000,0,0
6,102,719,0,0,0,0,0,0,0.0000,0,0
7,94,813,0,0,0,0,0,0,0.0000,0,0
8,106,919,0,0,0,0,0,0,0.0000,0,0
9,110,1029,0,0,0,0,0,0,0.0000,0,0
10,95,1124,0,0,0,0,0,0,0.0000,0,0
11,98,1222,0,0,0,0,0,0,0.0000,0,0
12,98,1320,0,0,0,0,0,0,0.0000,0,0
13,91,1411,0,0,0,0,0,0,0.0000,0,0
14,96,1507,0,0,0,0,0,0,0.0000,0,0
15,85,1592,0,0,0,0,0,0,0.0000,0,0
16,114,1706,0,0,0,0,0,0,0.0000,0,0
17,87,1793,0,0,0,0,0,0,0.0000,0,0
18,97,1890,0,0,0,0,0,0,0.0000,0,0
19,93,1983,0,0,0,0,0,0,0.0000,0,0
20,90,2071,2,2,0,0,0,0,0.0000,2,209
21,99,2162,8,10,0,0,0,0,0.0000,6,575
22,109,2267,4,14,0,0,0,0,0.0000,4,401
23,101,2351,17,31,0,0,0,0,0.0000,13,1283
24,107,2451,7,38,0,0,0,0,0.0000,7,677
25,106,2554,3,41,0,0,0,0,0.0000,3,280
26,114,2668,0,41,0,0,0,0,0.0000,0,0
27,106,2770,4,45,0,0,0,0,0.0000,4,391
28,90,2860,0,45,0,0,0,0,0.0000,0,0
29,98,2957,1,46,0,0,0,0,0.0000,1,107
30,95,3052,0,46,0,0,0,0,0.0000,0,0
31,89,3139,2,48,0,0,0,0,0.0000,2,191
32,88,3226,1,49,0,0,0,0,0.0000,1,96
33,111,3337,0,49,0,0,0,0,0.0000,0,0
34,105,3432,10,59,0,0,0,0,0.0000,8,780
35,124,3556,0,59,0,0,0,0,0.0000,0,0
36,100,3652,4,63,0,0,0,0,0.0000,4,399
37,91,3726,17,80,3,3,0,0,0.0008,15,1498
38,101,3824,3,83,3,0,0,0,0.0008,3,300
39,99,3916,7,90,7,4,0,0,0.0018,7,702
40,95,4011,0,90,7,0,0,0,0.0017,0,0
41,97,4104,4,94,8,1,0,0,0.0019,4,415
42,109,4211,2,96,9,1,0,0,0.0021,2,232
