Time,Register,Valid_user_num,Revoke,Revoked_user_num,BF_false_positive,New_acc_wit,Revoke_in_acc,Acc_update,BF_false_positive_rate,CH_update_block,CH_update
0,514,514,0,0,0,0,0,0,0.0000,0,0
1,494,1008,0,0,0,0,0,0,0.0000,0,0
2,522,1530,0,0,0,0,0,0,0.0000,0,0
3,537,2067,0,0,0,0,0,0,0.0000,0,0
4,486,2553,0,0,0,0,0,0,0.0000,0,0
5,523,3076,0,0,0,0,0,0,0.0000,0,0
6,515,3591,0,0,0,0,0,0,0.0000,0,0
7,495,4086,0,0,0,0,0,0,0.0000,0,0
8,523,4609,0,0,0,0,0,0,0.0000,0,0
9,519,5128,0,0,0,0,0,0,0.0000,0,0
10,512,5640,0,0,0,0,0,0,0.0000,0,0
11,466,6106,0,0,0,0,0,0,0.0000,0,0
12,471,6577,0,0,0,0,0,0,0.0000,0,0
13,521,7098,0,0,0,0,0,0,0.0000,0,0
14,515,7613,0,0,0,0,0,0,0.0000,0,0
15,484,8097,0,0,0,0,0,0,0.0000,0,0
16,526,8623,0,0,0,0,0,0,0.0000,0,0
17,495,9118,0,0,0,0,0,0,0.0000,0,0
18,446,9564,0,0,0,0,0,0,0.0000,0,0
19,493,10057,0,0,0,0,0,0,0.0000,0,0
20,497,10546,8,8,0,0,0,0,0.0000,8,4075
21,509,11000,55,63,0,0,0,0,0.0000,22,11000
22,515,11513,2,65,0,0,0,0,0.0000,2,1027
23,503,11970,46,111,0,0,0,0,0.0000,19,9488
24,499,12412,57,168,2,2,0,0,0.0002,23,11416
25,495,12874,33,201,3,1,0,0,0.0002,20,9891
26,534,13400,8,209,3,0,0,0,0.0002,8,3941
27,537,13930,7,216,4,1,0,0,0.0003,7,3448
28,476,14383,23,239,5,1,0,0,0.0003,16,7869
29,505,14826,62,301,6,1,0,0,0.0004,29,14312
30,537,15340,23,324,10,4,0,0,0.0007,14,6982
31,492,15814,18,342,13,3,0,0,0.0008,14,6961
32,472,16236,50,392,19,6,0,0,0.0012,26,12735
33,497,16631,103,495,41,22,0,0,0.0025,33,16127
34,497,17101,27,522,48,7,0,0,0.0028,19,9447
35,498,17560,39,561,67,19,0,0,0.0038,25,12332
36,490,18044,6,567,73,6,0,0,0.0040,6,2910
37,518,18530,32,599,83,10,0,0,0.0045,17,8230
38,532,19054,8,607,90,7,0,0,0.0047,7,3468
39,488,19542,0,607,92,2,0,0,0.0047,0,0
40,483,20021,4,611,98,6,0,0,0.0049,4,2005
41,528,20524,25,636,111,14,1,97,0.0054,19,9212
42,498,20958,64,700,143,32,0,0,0.0068,34,16517
43,476,21424,10,710,154,11,0,0,0.0072,9,4390
44,471,21882,13,723,169,15,0,0,0.0077,12,5861
45,462,22343,1,724,175,6,0,0,0.0078,1,512
46,512,22797,59,783,220,45,0,0,0.0097,36,17421
47,526,23272,51,834,272,53,1,219,0.0117,31,14926
48,494,23760,6,840,276,4,0,0,0.0116,5,2482
49,553,24309,4,844,284,8,0,0,0.0117,4,1897
50,519,24819,9,853,302,18,0,0,0.0122,9,4466
51,465,25255,29,882,334,32,0,0,0.0132,21,10147
52,450,25703,2,884,340,6,0,0,0.0132,2,911
53,499,26195,7,891,353,13,0,0,0.0135,6,2920
54,484,26671,8,899,364,12,1,352,0.0136,8,3883
55,512,27154,29,928,393,29,0,0,0.0145,23,11177
56,496,27641,9,937,413,20,0,0,0.0149,9,4246
57,484,28108,17,954,434,21,0,0,0.0154,14,6768
58,522,28627,3,957,444,10,0,0,0.0155,3,1467
59,526,29117,36,993,502,59,1,443,0.0172,25,12105
60,496,29566,47,1040,579,78,1,501,0.0196,31,15039
61,509,30033,42,1082,660,82,1,578,0.0220,30,14435
62,498,30512,19,1101,699,39,0,0,0.0229,17,8219
63,449,30961,0,1101,714,15,0,0,0.0231,0,0
64,475,31430,6,1107,734,20,0,0,0.0234,6,2808
65,518,31878,70,1177,869,137,2,732,0.0273,42,20332
66,482,32360,0,1177,881,12,0,0,0.0272,0,0
67,533,32865,28,1205,951,70,0,0,0.0289,23,11248
68,494,33357,2,1207,968,17,0,0,0.0290,2,955
69,494,33820,31,1238,1050,83,1,967,0.0310,22,10378
70,527,34318,29,1267,1120,70,0,0,0.0326,26,12506
71,519,34829,8,1275,1153,33,0,0,0.0331,8,3963
72,484,35238,75,1350,1337,185,1,1152,0.0379,50,24117
73,505,35715,28,1378,1431,95,1,1336,0.0401,24,11498
74,478,36173,20,1398,1487,57,1,1430,0.0411,20,9607
75,524,36690,7,1405,1521,35,1,1486,0.0415,6,2802
76,481,37164,7,1412,1554,33,0,0,0.0418,7,3270
77,503,37663,4,1416,1584,30,0,0,0.0421,3,1432
78,508,38137,34,1450,1725,143,2,1582,0.0452,26,12873
79,514,38649,2,1452,1753,28,0,0,0.0454,2,972
80,516,39156,9,1461,1812,59,0,0,0.0463,9,4273
81,519,39654,21,1482,1885,75,2,1810,0.0475,19,9265
82,441,40057,38,1520,2064,179,0,0,0.0515,28,13664
83,506,40498,65,1585,2329,268,3,2061,0.0575,44,21243
84,536,41023,11,1596,2397,69,1,2328,0.0584,10,4877
85,491,41494,20,1616,2499,103,1,2396,0.0602,19,9179
86,508,41986,16,1632,2588,91,2,2497,0.0616,16,7747
87,510,42474,22,1654,2697,109,0,0,0.0635,20,9795
88,497,42967,4,1658,2739,42,0,0,0.0637,4,1901
89,497,43455,9,1667,2816,77,0,0,0.0648,7,3375
90,458,43886,27,1694,2939,124,1,2815,0.0670,24,11667
91,510,44384,12,1706,3003,66,2,2937,0.0677,12,5708
92,528,44889,23,1729,3154,152,1,3002,0.0703,18,8819
93,505,45347,47,1776,3371,221,4,3150,0.0743,39,18782
94,488,45795,40,1816,3599,230,2,3369,0.0786,32,15243
95,506,46243,58,1874,3923,326,2,3597,0.0848,42,20238
96,503,46714,32,1906,4100,180,3,3920,0.0878,28,13470
97,497,47208,3,1909,4172,72,0,0,0.0884,3,1474
98,490,47653,45,1954,4426,260,6,4166,0.0929,35,16811
99,511,48151,13,1967,4567,142,1,4425,0.0948,13,6128
